user product prediction
(0,42,3.5741345223978866)
(0,47,3.6808344942263655)
(0,70,3.5599991369593535)
(0,86,3.890942433823987)
(0,97,3.550910963512869)
(0,116,3.655300685351374)
(0,133,3.7691594757745737)
(0,207,3.701063874272852)
(0,208,3.740891134806232)
(0,209,3.194211693308094)
(0,231,3.483215122860308)
(0,295,3.600206366361472)
(0,339,2.7744077852773685)
(0,372,3.7967628130669278)
(0,482,2.9912439016410524)
(0,553,3.6173590939740317)
(0,573,3.3280476093385607)
(0,605,3.330815971932127)
(0,698,3.872640689643884)
(0,730,3.6039625857529467)
(0,739,1.997363321541442)
(0,769,3.6834042726451504)
(0,843,3.741654365453962)
(0,892,3.066558846370409)
(0,893,3.8950252545427744)
(0,943,2.7121656869574635)
(0,958,3.738943323693178)
(0,1006,3.3932018017092176)
(0,1021,3.3009632558521593)
(0,1062,3.06073493118502)
(0,1073,2.9945882708550116)
(0,1159,2.559250688598102)
(0,1252,3.889925249737267)
(0,1539,3.252059210950226)
(0,1560,2.0640308778634977)
(0,1659,3.1787975864847944)
(0,2415,3.1806333671231934)
(0,2477,3.4365500836667597)
(0,2562,3.6941571237371558)
(0,2776,2.9290648021090266)
(0,2830,3.025102223368613)
(0,2934,2.802932204925446)
(0,3070,3.181089251391004)
(0,3317,4.05181353578335)
(0,3394,3.6807301501270064)
(0,3429,3.493072122651266)
(0,3470,3.7566651917782474)
(0,3606,3.8219469864939435)
(0,3697,2.4454291428458843)
(0,3706,2.6909110084328973)
(1,56,3.0323116370899528)
(1,108,3.154976248268558)
(1,143,2.7584582039717587)
(1,159,3.321558844807626)
(1,209,2.8146936949476307)
(1,283,3.1508403694118505)
(1,339,2.4373490999769345)
(1,391,3.7338510416854938)
(1,406,3.188624010588782)
(1,463,2.987181731732987)
(1,623,3.1516564755827607)
(1,715,3.1251813234568875)
(1,1013,3.3966479057923955)
(1,1076,3.6660551004697495)
(1,1089,3.133511002396632)
(1,1108,2.502549868076465)
(1,1109,3.199364742945538)
(1,1159,2.2380019250421257)
(1,1279,3.460789699861097)
(1,1335,3.5026260295274594)
(1,1487,2.5615952738205072)
(1,1523,3.301973836661843)
(1,1532,3.1407267728938404)
(1,1573,3.2464741931396657)
(1,1586,2.3962725483920004)
(1,1666,3.001122605661125)
(1,1734,2.714569551554165)
(1,1831,3.0784576816590037)
(1,1835,3.0501722884908107)
(1,1895,2.9019307032846244)
(1,1909,2.4442823318025235)
(1,1929,3.3440394330144256)
(1,2124,2.2994514333211082)
(1,2272,2.6517414540239512)
(1,2398,3.516801301671306)
(1,2446,2.7726465969085883)
(1,2803,2.580223998496477)
(1,2820,3.2076306033561846)
(1,3227,2.575423534241337)
(1,3266,3.220711731692013)
(1,3680,2.320961794591155)
(2,264,3.6245066363945475)
